term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,instructors,cap,act,rem
Fall2021,91308,ACCT 1011,01,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '09/07-12/13', 'location': 'DSBN 204'}]",['MR 0200pm-0315pm 09/07-12/13 DSBN 204'],Ahmed M.  Ebrahim,Ahmed M.  Ebrahim (P),33,30,3
Fall2021,91309,ACCT 1011,02,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '09/07-12/13', 'location': 'DSBN 204'}]",['MR 0330pm-0445pm 09/07-12/13 DSBN 204'],Paul   Caster,Paul   Caster (P),33,31,2
Fall2021,91310,ACCT 1011,03,3.000,Introduction to Financial Accounting,"[{'days': 'MW', 'times': '0500pm-0615pm', 'dates': '09/07-12/13', 'location': 'DSBN L11'}]",['MW 0500pm-0615pm 09/07-12/13 DSBN L11'],Geoffrey Anthony  Cook,Geoffrey Anthony  Cook (P),33,32,1
Fall2021,91311,ACCT 1011,04,3.000,Introduction to Financial Accounting,"[{'days': 'MW', 'times': '0630pm-0745pm', 'dates': '09/07-12/13', 'location': 'DSBN L11'}]",['MW 0630pm-0745pm 09/07-12/13 DSBN L11'],Geoffrey Anthony  Cook,Geoffrey Anthony  Cook (P),33,19,14
Fall2021,91312,ACCT 1011,05,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '09/07-12/13', 'location': 'DSBN 201'}]",['TF 0930am-1045am 09/07-12/13 DSBN 201'],Jo Ann   Drusbosky,Jo Ann   Drusbosky (P),33,32,1
Fall2021,91313,ACCT 1011,06,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '09/07-12/13', 'location': 'DSBN 101'}]",['TF 1230pm-0145pm 09/07-12/13 DSBN 101'],Jo Ann   Drusbosky,Jo Ann   Drusbosky (P),33,31,2
Fall2021,91314,ACCT 1011,07,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '09/07-12/13', 'location': 'DSBN 101'}]",['TF 0200pm-0315pm 09/07-12/13 DSBN 101'],Jo Ann   Drusbosky,Jo Ann   Drusbosky (P),33,30,3
Fall2021,91315,ACCT 1011,08,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '09/07-12/13', 'location': 'DSBN L03'}]",['MR 0930am-1045am 09/07-12/13 DSBN L03'],Ahmed M.  Ebrahim,Ahmed M.  Ebrahim (P),33,28,5
Fall2021,91316,ACCT 1011,09,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '09/07-12/13', 'location': 'DSBN 216'}]",['MR 1230pm-0145pm 09/07-12/13 DSBN 216'],Ahmed M.  Ebrahim,Ahmed M.  Ebrahim (P),33,31,2
Fall2021,91317,ACCT 1011,10,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '09/07-12/13', 'location': 'DSBN 201'}]",['MR 0930am-1045am 09/07-12/13 DSBN 201'],John   Aland,John   Aland (P),33,33,0
Fall2021,91318,ACCT 1011,11,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '09/07-12/13', 'location': 'DSBN L03'}]",['MR 1230pm-0145pm 09/07-12/13 DSBN L03'],John   Aland,John   Aland (P),33,31,2
Fall2021,91319,ACCT 1011,12,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '09/07-12/13', 'location': 'DSBN L03'}]",['MR 0200pm-0315pm 09/07-12/13 DSBN L03'],John   Aland,John   Aland (P),33,32,1
Fall2021,91320,ACCT 1011,13,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0800am-0915am', 'dates': '09/07-12/13', 'location': 'DSBN L11'}]",['MR 0800am-0915am 09/07-12/13 DSBN L11'],Catherine   VanSlyck-Giff,Catherine   VanSlyck-Giff (P),33,25,8
Fall2021,91321,ACCT 1011,14,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0800am-0915am', 'dates': '09/07-12/13', 'location': 'DSBN 201'}]",['TF 0800am-0915am 09/07-12/13 DSBN 201'],Jo Ann   Drusbosky,Jo Ann   Drusbosky (P),33,28,5
Fall2021,91322,ACCT 1011,15,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0330pm-0445pm', 'dates': '09/07-12/13', 'location': 'DSBN L11'}]",['TF 0330pm-0445pm 09/07-12/13 DSBN L11'],Michael P.  Coyne,Michael P.  Coyne (P),33,27,6
