term,crn,location,day,start,end
Fall2021,91308,DSBN 204,R,2021-09-09T14:00:00,2021-09-09T15:15:00
Fall2021,91308,DSBN 204,M,2021-09-13T14:00:00,2021-09-13T15:15:00
Fall2021,91308,DSBN 204,R,2021-09-16T14:00:00,2021-09-16T15:15:00
Fall2021,91308,DSBN 204,M,2021-09-20T14:00:00,2021-09-20T15:15:00
Fall2021,91308,DSBN 204,R,2021-09-23T14:00:00,2021-09-23T15:15:00
Fall2021,91308,DSBN 204,M,2021-09-27T14:00:00,2021-09-27T15:15:00
Fall2021,91308,DSBN 204,R,2021-09-30T14:00:00,2021-09-30T15:15:00
Fall2021,91308,DSBN 204,M,2021-10-04T14:00:00,2021-10-04T15:15:00
Fall2021,91308,DSBN 204,R,2021-10-07T14:00:00,2021-10-07T15:15:00
Fall2021,91308,DSBN 204,R,2021-10-14T14:00:00,2021-10-14T15:15:00
Fall2021,91308,DSBN 204,M,2021-10-18T14:00:00,2021-10-18T15:15:00
Fall2021,91308,DSBN 204,R,2021-10-21T14:00:00,2021-10-21T15:15:00
Fall2021,91308,DSBN 204,M,2021-10-25T14:00:00,2021-10-25T15:15:00
Fall2021,91308,DSBN 204,R,2021-10-28T14:00:00,2021-10-28T15:15:00
Fall2021,91308,DSBN 204,M,2021-11-01T14:00:00,2021-11-01T15:15:00
Fall2021,91308,DSBN 204,R,2021-11-04T14:00:00,2021-11-04T15:15:00
Fall2021,91308,DSBN 204,M,2021-11-08T14:00:00,2021-11-08T15:15:00
Fall2021,91308,DSBN 204,R,2021-11-11T14:00:00,2021-11-11T15:15:00
Fall2021,91308,DSBN 204,M,2021-11-15T14:00:00,2021-11-15T15:15:00
Fall2021,91308,DSBN 204,R,2021-11-18T14:00:00,2021-11-18T15:15:00
Fall2021,91308,DSBN 204,M,2021-11-22T14:00:00,2021-11-22T15:15:00
Fall2021,91308,DSBN 204,M,2021-11-29T14:00:00,2021-11-29T15:15:00
Fall2021,91308,DSBN 204,R,2021-12-02T14:00:00,2021-12-02T15:15:00
Fall2021,91308,DSBN 204,M,2021-12-06T14:00:00,2021-12-06T15:15:00
Fall2021,91308,DSBN 204,R,2021-12-09T14:00:00,2021-12-09T15:15:00
Fall2021,91308,DSBN 204,M,2021-12-13T14:00:00,2021-12-13T15:15:00
Fall2021,91309,DSBN 204,R,2021-09-09T15:30:00,2021-09-09T16:45:00
Fall2021,91309,DSBN 204,M,2021-09-13T15:30:00,2021-09-13T16:45:00
Fall2021,91309,DSBN 204,R,2021-09-16T15:30:00,2021-09-16T16:45:00
Fall2021,91309,DSBN 204,M,2021-09-20T15:30:00,2021-09-20T16:45:00
Fall2021,91309,DSBN 204,R,2021-09-23T15:30:00,2021-09-23T16:45:00
Fall2021,91309,DSBN 204,M,2021-09-27T15:30:00,2021-09-27T16:45:00
Fall2021,91309,DSBN 204,R,2021-09-30T15:30:00,2021-09-30T16:45:00
Fall2021,91309,DSBN 204,M,2021-10-04T15:30:00,2021-10-04T16:45:00
Fall2021,91309,DSBN 204,R,2021-10-07T15:30:00,2021-10-07T16:45:00
Fall2021,91309,DSBN 204,R,2021-10-14T15:30:00,2021-10-14T16:45:00
