term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,instructors,cap,act,rem
Winter2020,12023,AY 0110,OL1,3.000,Biological Anthropology,[],[],Joseph A.  Wilson,Joseph A.  Wilson (P),20,18,2
Winter2020,12038,AY 0111,OL1,3.000,Cultural Anthropology,[],[],Alfred   Babo,Alfred   Babo (P),20,13,7
Winter2020,12048,AE 0285,OL1,3.000,Ethics of Health Care,[],[],James Abordo   Ong,James Abordo   Ong (P),20,12,8
Winter2020,12022,AE 0291,OL1,3.000,Business Ethics,[],[],Lisa M.  Sticca-Conrod,Lisa M.  Sticca-Conrod (P),20,5,15
Winter2020,12045,AH 0103,OL1,3.000,"Art of Africa, the Caribbean, and the Americas",[],[],Dawn M.  Pilotti,Dawn M.  Pilotti (P),20,20,0
Winter2020,12012,BI 0071,OL1,3.000,Identity and the Human Genome,[],[],Christine R.  Rodriguez,Christine R.  Rodriguez (P),20,19,1
Winter2020,12004,BI 0075,OL1,3.000,Ecology and Society,[],[],Thomas B.  Cunningham,Thomas B.  Cunningham (P),20,17,3
Winter2020,12024,BI 0078,OL1,3.000,Introduction to Marine Science,[],[],Thomas B.  Cunningham,Thomas B.  Cunningham (P),20,18,2
Winter2020,12001,BU 0211,01,3.000,Legal Environment of Business,"[{'days': 'MTWRF', 'times': '0830am-0430pm', 'dates': '01/02-01/08', 'location': 'DSBN 115'}]",['MTWRF 0830am-0430pm 01/02-01/08 DSBN 115'],Sharlene A.  McEvoy,Sharlene A.  McEvoy (P),15,3,12
Winter2020,12006,CO 0240,OL1,3.000,Intercultural Communication,[],[],Qin   Zhang,Qin   Zhang (P),20,10,10
Winter2020,12039,CO 0246,01,3.000,Family Communication,"[{'days': 'MTWRF', 'times': '0830am-0430pm', 'dates': '01/02-01/08', 'location': 'DMH 350'}]",['MTWRF 0830am-0430pm 01/02-01/08 DMH 350'],Margaret A.  Wills,Margaret A.  Wills (P),20,9,11
Winter2020,12046,CO 0410,OL1,3.000,Perspectives and Theories in Organizational Communication,[],[],Michael P.  Pagano,Michael P.  Pagano (P),16,8,8
Winter2020,12025,EC 0011,OL1,3.000,Introduction to Microeconomics,[],[],William F.  Vasquez Mazariegos,William F.  Vasquez Mazariegos (P),20,8,12
Winter2020,12040,EN 0101,OL1,3.000,Introduction to Literary and Cultural Studies,[],[],Christopher Grant  Madden,Christopher Grant  Madden (P),20,18,2
Winter2020,12007,EN 0163,OL1,3.000,The Literature of Illness and Healing: Wounded Storytellers and Dedicated Healers,[],[],Jacqueline   Rinaldi,Jacqueline   Rinaldi (P),20,19,1
Winter2020,12017,FI 0101,OL1,3.000,Introduction to Finance,[],[],Nazli S.  Alan,Nazli S.  Alan (P),20,6,14
Winter2020,12003,FI 0500,01,3.000,Shareholder Value,"[{'days': 'MTWRF', 'times': '0600pm-0930pm', 'dates': '01/03-01/10', 'location': 'DSBN 204'}, {'days': 'S', 'times': '0830am-0430pm', 'dates': '01/04-01/11', 'location': 'DSBN 204'}]","['MTWRF 0600pm-0930pm 01/03-01/10 DSBN 204', 'S 0830am-0430pm 01/04-01/11 DSBN 204', 'S 0830am-0430pm 01/04-01/11 DSBN 204']",Thomas E.  Conine,Thomas E.  Conine (P),20,17,3
