term,crn,catalog_id,section,credits,title,timecodes,instructor
Spring2023,38971,FNCE 3340,01,3.000,"Environmental, Social and Governance Investing",['MR 0330pm-0445pm 01/17-05/10'],Noradeen   Farlekas
Spring2023,37641,FNCE 3980,01,3.000,Internship,[' TBA 01/17-05/10'],Sarah Jennie  Bollinger
Spring2023,37021,FNCE 4240,01,3.000,International Financial Management,['TF 0930am-1045am 01/17-05/10'],Valeria A.  Martinez
Spring2023,37022,FNCE 4240,02,3.000,International Financial Management,['TF 1100am-1215pm 01/17-05/10'],Valeria A.  Martinez
Spring2023,37023,FNCE 4300,01,3.000,Seminar in Fixed Income,['MR 1100am-1215pm 01/17-05/10'],John D.  Van Ness
Spring2023,37024,FNCE 4310,01,3.000,Portfolio Analysis,['W 1100am-0130pm 01/17-05/10'],Gregory D.  Koutmos
Spring2023,37025,FNCE 4310,02,3.000,Portfolio Analysis,['W 0630pm-0900pm 01/17-05/10'],Gregory D.  Koutmos
Spring2023,37026,FNCE 4330,01,3.000,Case Studies in Finance,['MR 0800am-0915am 01/17-05/10'],John B.  McDermott
Spring2023,37027,FNCE 4330,02,3.000,Case Studies in Finance,['MR 0930am-1045am 01/17-05/10'],John B.  McDermott
Spring2023,37028,FNCE 4330,03,3.000,Case Studies in Finance,['TF 0800am-0915am 01/17-05/10'],Nomalia   Manna
Spring2023,37029,FNCE 4330,04,3.000,Case Studies in Finance,['TF 0930am-1045am 01/17-05/10'],Nomalia   Manna
Spring2023,37030,FNCE 4330,05,3.000,Case Studies in Finance,['TF 1100am-1215pm 01/17-05/10'],Michael R.  Puleo
Spring2023,37031,FNCE 4330,06,3.000,Case Studies in Finance,['TF 0200pm-0315pm 01/17-05/10'],Michael R.  Puleo
Spring2023,37032,FNCE 4330,07,3.000,Case Studies in Finance,['TF 0330pm-0445pm 01/17-05/10'],Michael R.  Puleo
Spring2023,38249,FNCE 4330,08,3.000,Case Studies in Finance,['MR 0930am-1045am 01/17-05/10'],Michael B  McDonald
Spring2023,38972,FNCE 4330,09,3.000,Case Studies in Finance,['MR 1100am-1215pm 01/17-05/10'],Michael B  McDonald
Spring2023,38973,FNCE 4330,10,3.000,Case Studies in Finance,['MR 0200pm-0315pm 01/17-05/10'],Michael B  McDonald
Spring2023,38974,FNCE 4335,01,3.000,Introduction to Financial Technology,['R 0630pm-0900pm 01/17-05/10'],Sunil   Gangwani
Spring2023,37033,FNCE 4390,01,3.000,Seminar: Financial Technology,['W 0500pm-0730pm 01/17-05/10'],Walter F.  Hlawitschka
Spring2023,39042,FNCE 4390,02,3.000,Seminar in Finance,['T 0630pm-0900pm 01/17-05/10'],Peter A  Weinbach
Spring2023,39043,FNCE 4390,03,3.000,Seminar in Finance,['R 0630pm-0900pm 01/17-05/10'],Nicholas   Battista
Spring2023,38468,FNCE 4990,01,3.000,Independent Study,[' TBA 01/17-05/10'],Katsiaryna Salavei  Bardos
Spring2023,38712,FNCE 4990,02,3.000,Independent Study,[' TBA 01/17-05/10'],Titos   Ritsatos
Spring2023,38355,FNCE 6530,01,3.000,Corporate Finance,['T 0630pm-0930pm 01/17-05/10'],Robert   Flug
Spring2023,38252,FNCE 6540,01,3.000,Investment Analysis,['M 0630pm-0930pm 01/17-05/10'],Ying   Zhang
Spring2023,37035,FNCE 6545,01,3.000,Portfolio Management,['M 0630pm-0930pm 01/17-05/10'],Gregory D.  Koutmos
Spring2023,39044,FNCE 6555,01,3.000,International Financial Management,['W 0630pm-0930pm 01/17-05/10'],Valeria A.  Martinez
Spring2023,37037,FNCE 6595,01,3.000,Research Methods in Finance,['R 0630pm-0930pm 01/17-05/10'],Steven E.  Kozlowski
Spring2023,38019,FYEX 1002,01,0.000,Transfer Student Experience,['M 0200pm-0250pm 01/17-05/10'],Jillian P.  Leahy
Spring2023,38020,FYEX 1002,02,0.000,Transfer Student Experience,['T 0200pm-0250pm 01/17-05/10'],Jillian P.  Leahy
Spring2023,38455,FYEX 2000,01,0.000,Sophomore Success,['W 0100pm-0415pm 01/17-05/10'],Stephanie G.  Gallo
Spring2023,37093,FREN 1111,01,3.000,Elementary French II,['TWF 1100am-1150am 01/17-05/10'],Robert G.  Cloutier
Spring2023,37094,FREN 1111,02,3.000,Elementary French II,"['TF 1230pm-0120pm 01/17-05/10', 'W 0100pm-0150pm 01/17-05/10']",Zoe   Erotopoulos
Spring2023,37096,FREN 2211,01,3.000,Intermediate French II,"['MR 0930am-1020am 01/17-05/10', 'W 0900am-0950am 01/17-05/10']",Joel D.  Goldfield
Spring2023,37097,FREN 2211,02,3.000,Intermediate French II,['TWF 1100am-1150am 01/17-05/10'],Zoe   Erotopoulos
Spring2023,37099,FREN 2220,01,3.000,Topics in Language and Culture,['MR 0200pm-0315pm 01/17-05/10'],Joel D.  Goldfield
Spring2023,38745,FREN 3990,01,3.000,Independent Study,[' TBA 01/17-05/10'],
Spring2023,38746,FREN 4301,01,3.000,Survey of Literature in French I,['TF 0930am-1045am 01/17-05/10'],Zoe   Erotopoulos
Spring2023,38747,FREN 4999,01,3.000,Capstone Seminar,['MR 1100am-1215pm 01/17-05/10'],Joel D.  Goldfield
Spring2023,37100,GRMN 1111,01,3.000,Elementary German II,['TWF 1100am-1150am 01/17-05/10'],Eileen   Wilkinson
Spring2023,37101,GRMN 2211,01,3.000,Intermediate German II,"['TF 0930am-1020am 01/17-05/10', 'W 0900am-0950am 01/17-05/10']",Eileen   Wilkinson
Spring2023,38748,GRMN 2220,01,3.000,Topics in Language and Culture,['TF 0800am-0915am 01/17-05/10'],Eileen   Wilkinson
Spring2023,38770,GRMN 4999,01,3.000,Capstone Seminar,['MR 1100am-1215pm 01/17-05/10'],Joel D.  Goldfield
Spring2023,37822,GDSN 3202,01,3.000,Graphic Design II: Clients and Collaboration,['M 0500pm-0730pm 01/17-05/10'],
Spring2023,37184,HLST 1101,01,3.000,Introduction to Health Studies,['W 1100am-0130pm 01/17-05/10'],Michael P.  Pagano
Spring2023,38727,HLST 1101,03,3.000,Introduction to Health Studies,['TF 1230pm-0145pm 01/17-05/10'],Kathryn   Hertzmark
Spring2023,38030,HLST 3201,01,3.000,Health Communication for Healthcare Professionals,['W 0200pm-0430pm 01/17-05/10'],Michael P.  Pagano
Spring2023,38728,HLST 3310,01,3.000,Global Health:  A Social Justice Perspective,['MR 1100am-1215pm 01/17-05/10'],Patrick W.  Kelley
Spring2023,37185,HLST 4999,01,3.000,Health Studies Capstone,['T 0500pm-0730pm 01/17-05/10'],Patrick W.  Kelley
Spring2023,37186,HLST 4999,02,3.000,Health Studies Capstone,['MR 0930am-1045am 01/17-05/10'],Kathryn   Hertzmark
Spring2023,37187,HLST 4999,03,3.000,Health Studies Capstone,['MR 1100am-1215pm 01/17-05/10'],Kathryn   Hertzmark
Spring2023,39077,HCAD 6100,01,3.000,Introduction to the United States Healthcare System,[' TBA 01/17-05/10'],Lisa   Sundean
Spring2023,38385,HCAD 6200,01,3.000,Healthcare Reimbursement and Organizational Performance,[' TBA 01/17-05/10'],Daniel   Pumerantz
Spring2023,38413,HCAD 6951,01,3.000,Healthcare Administration Practicum,[' TBA 01/17-05/10'],Lisa   Sundean
Spring2023,38453,HCAD 6999,01,4.000,Healthcare Administration Capstone,[' TBA 01/17-05/10'],Lisa   Sundean
Spring2023,37890,HIST 1100,01,3.000,Origins of the Modern World Since 1500,['TWF 0800am-0850am 01/17-05/10'],William M.  Abbott
Spring2023,37891,HIST 1100,02,3.000,Origins of the Modern World Since 1500,['MR 1100am-1215pm 01/17-05/10'],Patricia E.  Behre
Spring2023,37892,HIST 1100,03,3.000,Origins of the Modern World Since 1500,['MR 1230pm-0145pm 01/17-05/10'],Kevin   Lord
Spring2023,37893,HIST 1100,04,3.000,Origins of the Modern World Since 1500,['MR 0200pm-0315pm 01/17-05/10'],Kevin   Lord
Spring2023,37894,HIST 1100,05,3.000,Origins of the Modern World Since 1500,['MR 0930am-1045am 01/17-05/10'],Kevin   Lord
Spring2023,37895,HIST 1100,06,3.000,Origins of the Modern World Since 1500,['W 0200pm-0430pm 01/17-05/10'],Matthew   Rowley
