nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0605621,Alan Morinis,1949,\N,"producer,writer","tt0107080,tt0114040,tt0117557"
nm0709791,James Randi,1928,2020,"actor,stunts","tt0070992,tt2246565,tt0290994,tt0098073"
nm6857269,Mathew Affron,\N,\N,,tt0117557
nm6857272,Bill Barlee,\N,\N,,tt0117557
nm6514140,Barry Beyerstein,\N,\N,,"tt0094574,tt0117557,tt0776749,tt0346369"
nm0919280,Aerlyn Weissman,\N,\N,"director,assistant_director,sound_department","tt0106944,tt0396102,tt0094328,tt0269225"
nm1121908,Therese Beaupre,\N,\N,"writer,miscellaneous,director","tt0337539,tt0115085,tt0805825,tt0098900"
nm0988620,Suzanne Chapman,\N,\N,"producer,miscellaneous,production_manager","tt0478933,tt0117557,tt0138959,tt0220223"
nm0199220,Howard Dancyger,\N,\N,"producer,director,production_manager","tt0272379,tt0494187,tt1205793,tt0312510"
nm0557138,David Massar,\N,\N,"director,producer,writer","tt0437043,tt0366348,tt0092563,tt0449089"
nm0239578,Andre du Broc,1968,\N,"actor,writer","tt0427134,tt6221694,tt6997764,tt0117561"
nm0021038,Scott Allen,\N,\N,actor,"tt0195685,tt0100765,tt0120780,tt0157892"
nm0105280,Betsy Brantley,1955,\N,"actress,soundtrack,miscellaneous","tt0096438,tt0150377,tt0120647,tt0093779"
nm0114177,Marcus Lyle Brown,1970,\N,"actor,producer,miscellaneous","tt1308729,tt1440129,tt1517260,tt1656186"
nm0178385,Silas Cooper,1960,\N,"actor,stunts","tt1860242,tt1133985,tt0117108,tt1657507"
nm0183887,C.C. Courtney,\N,\N,actor,"tt0078111,tt0239568,tt0056752,tt0436288"
nm0186251,Sonny Cranch,1944,\N,actor,tt0117561
nm0198201,Ann Dalrymple,\N,\N,"actress,script_department","tt0148043,tt0397101,tt6149768,tt5068968"
nm0225410,Darrin Dickerson,\N,\N,"actor,camera_department,director","tt0360710,tt0360418,tt1240540,tt0362311"
nm0410419,Mark Irwin,1950,\N,"cinematographer,camera_department","tt0117571,tt0302886,tt0129387,tt0100502"
