term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,instructors,cap,act,rem
Spring2022,34289,MGMT 2101,08,3.000,Introduction to Management,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['TF 1230pm-0145pm 01/18-05/11 TBA'],Christopher J.  Hamer,Christopher J.  Hamer (P),30,29,1
Spring2022,34290,MGMT 2101,09,3.000,Introduction to Management,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['TF 1100am-1215pm 01/18-05/11 TBA'],Christopher J.  Hamer,Christopher J.  Hamer (P),30,27,3
Spring2022,34291,MGMT 2101,10,3.000,Introduction to Management,"[{'days': 'TF', 'times': '0800am-0915am', 'dates': '01/18-05/11', 'location': 'TBA'}]",['TF 0800am-0915am 01/18-05/11 TBA'],Gregory N.  Konz,Gregory N.  Konz (P),30,8,22
Spring2022,34292,MGMT 2101,11,3.000,Introduction to Management,"[{'days': 'TR', 'times': '0500pm-0615pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['TR 0500pm-0615pm 01/18-05/11 TBA'],Gregory N.  Konz,Gregory N.  Konz (P),30,25,5
Spring2022,35663,MGMT 2101,12,3.000,Introduction to Management,"[{'days': 'MW', 'times': '0630pm-0745pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['MW 0630pm-0745pm 01/18-05/11 TBA'],Jim   Duncan,Jim   Duncan (P),25,7,18
Spring2022,34840,MGMT 2980,01,1.000,Internship,[],[],Sarah Jennie  Bollinger,Sarah Jennie  Bollinger (P),15,0,15
Spring2022,34293,MGMT 3235,01,3.000,Managing Human Resources,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '01/18-05/11', 'location': 'TBA'}]",['MR 0930am-1045am 01/18-05/11 TBA'],Regina   Kim,Regina   Kim (P),25,24,1
Spring2022,34294,MGMT 3235,02,3.000,Managing Human Resources,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['MR 0200pm-0315pm 01/18-05/11 TBA'],Regina   Kim,Regina   Kim (P),25,20,5
Spring2022,35359,MGMT 3235,03,3.000,Managing Human Resources,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['TF 1100am-1215pm 01/18-05/11 TBA'],Lisa   Stafford,Lisa   Stafford (P),25,21,4
Spring2022,35664,MGMT 3235,04,3.000,Managing Human Resources,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['TF 1230pm-0145pm 01/18-05/11 TBA'],Lisa   Stafford,Lisa   Stafford (P),25,11,14
Spring2022,34295,MGMT 3240,01,3.000,Leading and Managing People,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '01/18-05/11', 'location': 'TBA'}]",['TF 0930am-1045am 01/18-05/11 TBA'],Lisa A.  Mainiero,Lisa A.  Mainiero (P),25,28,-3
Spring2022,34296,MGMT 3240,02,3.000,Leading and Managing People,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['TF 1100am-1215pm 01/18-05/11 TBA'],Lisa A.  Mainiero,Lisa A.  Mainiero (P),25,31,-6
Spring2022,34841,MGMT 3980,01,3.000,Internship,[],[],Sarah Jennie  Bollinger,Sarah Jennie  Bollinger (P),15,3,12
Spring2022,34297,MGMT 4300,01,3.000,Business Strategies in the Global Environment,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['MR 1230pm-0145pm 01/18-05/11 TBA'],Mousumi   Bhattacharya,Mousumi   Bhattacharya (P),20,6,14
Spring2022,34298,MGMT 4300,02,3.000,Business Strategies in the Global Environment,[],[],Mousumi   Bhattacharya,Mousumi   Bhattacharya (P),20,17,3
Spring2022,34299,MGMT 4300,03,3.000,Business Strategies in the Global Environment,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['MR 1100am-1215pm 01/18-05/11 TBA'],Stanislav   Vavilov,Stanislav   Vavilov (P),25,23,2
Spring2022,34300,MGMT 4300,04,3.000,Business Strategies in the Global Environment,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['MR 1230pm-0145pm 01/18-05/11 TBA'],Stanislav   Vavilov,Stanislav   Vavilov (P),25,23,2
Spring2022,34302,MGMT 4300,06,3.000,Business Strategies in the Global Environment,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['TF 0200pm-0315pm 01/18-05/11 TBA'],Jeffrey D.  Moretz,Jeffrey D.  Moretz (P),25,24,1
Spring2022,34303,MGMT 4300,07,3.000,Business Strategies in the Global Environment,"[{'days': 'TF', 'times': '0330pm-0445pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['TF 0330pm-0445pm 01/18-05/11 TBA'],Jeffrey D.  Moretz,Jeffrey D.  Moretz (P),25,8,17
Spring2022,34304,MGMT 4300,08,3.000,Business Strategies in the Global Environment,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['TF 1230pm-0145pm 01/18-05/11 TBA'],Yifeng   Fan,Yifeng   Fan (P),25,27,-2
Spring2022,34305,MGMT 4300,09,3.000,Business Strategies in the Global Environment,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['TF 0200pm-0315pm 01/18-05/11 TBA'],Yifeng   Fan,Yifeng   Fan (P),25,25,0
Spring2022,34306,MGMT 4300,10,3.000,Business Strategies in the Global Environment,"[{'days': 'W', 'times': '0200pm-0430pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['W 0200pm-0430pm 01/18-05/11 TBA'],Gad   Selig,Gad   Selig (P),25,25,0
Spring2022,35665,MGMT 4300,11,3.000,Business Strategies in the Global Environment,"[{'days': 'W', 'times': '1100am-0130pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['W 1100am-0130pm 01/18-05/11 TBA'],Christopher J.  Hamer,Christopher J.  Hamer (P),25,26,-1
Spring2022,34307,MGMT 4330,01,3.000,Career Planning,"[{'days': 'W', 'times': '1100am-0130pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['W 1100am-0130pm 01/18-05/11 TBA'],Lisa A.  Mainiero,Lisa A.  Mainiero (P),25,30,-5
Spring2022,34308,MGMT 4333,01,3.000,Advanced Topics in Human Resource Management,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['MR 0200pm-0315pm 01/18-05/11 TBA'],Lisa   Stafford,Lisa   Stafford (P),30,30,0
Spring2022,34309,MGMT 4336,01,3.000,Social Entrepreneurship,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '01/18-05/11', 'location': 'TBA'}]",['TF 0930am-1045am 01/18-05/11 TBA'],Jeffrey D.  Moretz,Jeffrey D.  Moretz (P),25,25,0
Spring2022,34310,MGMT 4338,01,3.000,Managing a Family Business,"[{'days': 'W', 'times': '0200pm-0430pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['W 0200pm-0430pm 01/18-05/11 TBA'],Christopher J.  Hamer,Christopher J.  Hamer (P),25,30,-5
Spring2022,34312,MGMT 4360,01,3.000,Negotiations and Dispute Resolution,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['MR 1100am-1215pm 01/18-05/11 TBA'],Regina   Kim,Regina   Kim (P),25,25,0
Spring2022,35666,MGMT 4370,01,3.000,Managing Non-Profit Organizations,"[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['MR 0330pm-0445pm 01/18-05/11 TBA'],Stanislav   Vavilov,Stanislav   Vavilov (P),25,24,1
