term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,instructors,cap,act,rem
Spring2021,31816,ACCT 1011,01,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '01/25-05/04', 'location': 'DSBN L03'}]",['MR 0930am-1045am 01/25-05/04 DSBN L03'],Ahmed M.  Ebrahim,Ahmed M.  Ebrahim (P),29,27,2
Spring2021,31817,ACCT 1011,02,3.000,Introduction to Financial Accounting,"[{'days': 'TR', 'times': '0630pm-0745pm', 'dates': '01/25-05/04', 'location': 'DSBN 113'}]",['TR 0630pm-0745pm 01/25-05/04 DSBN 113'],Geoffrey Anthony  Cook,Geoffrey Anthony  Cook (P),25,24,1
Spring2021,32475,ACCT 1011,03,3.000,Introduction to Financial Accounting,"[{'days': 'MW', 'times': '0500pm-0615pm', 'dates': '01/25-05/04', 'location': 'DSBN 206'}]",['MW 0500pm-0615pm 01/25-05/04 DSBN 206'],Scott M  Brenner,Scott M  Brenner (P),20,21,-1
Spring2021,31818,ACCT 1012,01,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '01/25-05/04', 'location': 'ONLINE '}]",['TF 0200pm-0315pm 01/25-05/04 ONLINE '],Bruce   Bradford,Bruce   Bradford (P),24,23,1
Spring2021,31819,ACCT 1012,02,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '01/25-05/04', 'location': 'DSBN 101'}]",['MR 0200pm-0315pm 01/25-05/04 DSBN 101'],Paul   Caster,Paul   Caster (P),29,30,-1
Spring2021,31820,ACCT 1012,03,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '01/25-05/04', 'location': 'DSBN 101'}]",['MR 0330pm-0445pm 01/25-05/04 DSBN 101'],Paul   Caster,Paul   Caster (P),29,28,1
Spring2021,31821,ACCT 1012,04,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '0800am-0915am', 'dates': '01/25-05/04', 'location': 'DSBN 201'}]",['TF 0800am-0915am 01/25-05/04 DSBN 201'],Jo Ann   Drusbosky,Jo Ann   Drusbosky (P),29,29,0
Spring2021,31822,ACCT 1012,05,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '01/25-05/04', 'location': 'DSBN 101'}]",['TF 1100am-1215pm 01/25-05/04 DSBN 101'],Jo Ann   Drusbosky,Jo Ann   Drusbosky (P),29,30,-1
Spring2021,31823,ACCT 1012,06,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '01/25-05/04', 'location': 'DSBN 101'}]",['TF 1230pm-0145pm 01/25-05/04 DSBN 101'],Jo Ann   Drusbosky,Jo Ann   Drusbosky (P),29,29,0
Spring2021,31825,ACCT 1012,08,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '0800am-0915am', 'dates': '01/25-05/04', 'location': 'DSBN 101'}]",['TF 0800am-0915am 01/25-05/04 DSBN 101'],Arleen N.  Kardos,Arleen N.  Kardos (P),29,29,0
Spring2021,31826,ACCT 1012,09,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '01/25-05/04', 'location': 'DSBN 101'}]",['TF 0930am-1045am 01/25-05/04 DSBN 101'],Arleen N.  Kardos,Arleen N.  Kardos (P),29,29,0
