term,crn,location,day,start,end
Winter2022,12209,ONLINE ,M,2022-01-03T09:00:00,2022-01-03T11:30:00
Winter2022,12209,ONLINE ,T,2022-01-04T09:00:00,2022-01-04T11:30:00
Winter2022,12209,ONLINE ,W,2022-01-05T09:00:00,2022-01-05T11:30:00
Winter2022,12209,ONLINE ,R,2022-01-06T09:00:00,2022-01-06T11:30:00
Winter2022,12209,ONLINE ,F,2022-01-07T09:00:00,2022-01-07T11:30:00
Winter2022,12209,ONLINE ,M,2022-01-10T09:00:00,2022-01-10T11:30:00
Winter2022,12209,ONLINE ,T,2022-01-11T09:00:00,2022-01-11T11:30:00
Winter2022,12209,ONLINE ,W,2022-01-12T09:00:00,2022-01-12T11:30:00
Winter2022,12209,ONLINE ,R,2022-01-13T09:00:00,2022-01-13T11:30:00
Winter2022,12209,ONLINE ,F,2022-01-14T09:00:00,2022-01-14T11:30:00
Winter2022,12266,ONLINE ,R,2022-12-29T10:00:00,2022-12-29T13:00:00
Winter2022,12266,ONLINE ,M,2022-01-03T16:00:00,2022-01-03T19:00:00
Winter2022,12266,ONLINE ,T,2022-01-04T16:00:00,2022-01-04T19:00:00
Winter2022,12266,ONLINE ,W,2022-01-05T16:00:00,2022-01-05T19:00:00
Winter2022,12266,ONLINE ,R,2022-01-06T16:00:00,2022-01-06T19:00:00
Winter2022,12266,ONLINE ,W,2022-01-12T16:00:00,2022-01-12T19:00:00
Winter2022,12266,ONLINE ,R,2022-01-13T16:00:00,2022-01-13T19:00:00
Winter2022,12267,ONLINE ,R,2022-12-29T10:00:00,2022-12-29T13:00:00
Winter2022,12267,ONLINE ,M,2022-01-03T16:00:00,2022-01-03T19:00:00
Winter2022,12267,ONLINE ,T,2022-01-04T16:00:00,2022-01-04T19:00:00
Winter2022,12267,ONLINE ,W,2022-01-05T16:00:00,2022-01-05T19:00:00
Winter2022,12267,ONLINE ,R,2022-01-06T16:00:00,2022-01-06T19:00:00
Winter2022,12267,ONLINE ,W,2022-01-12T16:00:00,2022-01-12T19:00:00
Winter2022,12267,ONLINE ,R,2022-01-13T16:00:00,2022-01-13T19:00:00
Winter2022,12203,ONLINE ,S,2022-01-08T08:30:00,2022-01-08T16:30:00
Winter2022,12203,ONLINE ,S,2022-01-15T08:30:00,2022-01-15T16:30:00
Winter2022,12203,ONLINE ,M,2022-01-10T18:00:00,2022-01-10T21:30:00
Winter2022,12203,ONLINE ,T,2022-01-11T18:00:00,2022-01-11T21:30:00
Winter2022,12203,ONLINE ,W,2022-01-12T18:00:00,2022-01-12T21:30:00
Winter2022,12203,ONLINE ,R,2022-01-13T18:00:00,2022-01-13T21:30:00
Winter2022,12203,ONLINE ,F,2022-01-14T18:00:00,2022-01-14T21:30:00
Winter2022,12206,ONLINE ,M,2022-01-03T09:30:00,2022-01-03T12:00:00
Winter2022,12206,ONLINE ,T,2022-01-04T09:30:00,2022-01-04T12:00:00
Winter2022,12206,ONLINE ,W,2022-01-05T09:30:00,2022-01-05T12:00:00
Winter2022,12206,ONLINE ,R,2022-01-06T09:30:00,2022-01-06T12:00:00
Winter2022,12206,ONLINE ,F,2022-01-07T09:30:00,2022-01-07T12:00:00
Winter2022,12206,ONLINE ,M,2022-01-10T09:30:00,2022-01-10T12:00:00
Winter2022,12206,ONLINE ,T,2022-01-11T09:30:00,2022-01-11T12:00:00
Winter2022,12206,ONLINE ,W,2022-01-12T09:30:00,2022-01-12T12:00:00
Winter2022,12206,ONLINE ,R,2022-01-13T09:30:00,2022-01-13T12:00:00
Winter2022,12206,ONLINE ,F,2022-01-14T09:30:00,2022-01-14T12:00:00
Winter2022,12205,ONLINE ,M,2022-01-03T09:30:00,2022-01-03T12:00:00
Winter2022,12205,ONLINE ,T,2022-01-04T09:30:00,2022-01-04T12:00:00
Winter2022,12205,ONLINE ,W,2022-01-05T09:30:00,2022-01-05T12:00:00
Winter2022,12205,ONLINE ,R,2022-01-06T09:30:00,2022-01-06T12:00:00
Winter2022,12205,ONLINE ,F,2022-01-07T09:30:00,2022-01-07T12:00:00
Winter2022,12205,ONLINE ,M,2022-01-10T09:30:00,2022-01-10T12:00:00
Winter2022,12205,ONLINE ,T,2022-01-11T09:30:00,2022-01-11T12:00:00
Winter2022,12205,ONLINE ,W,2022-01-12T09:30:00,2022-01-12T12:00:00
Winter2022,12205,ONLINE ,R,2022-01-13T09:30:00,2022-01-13T12:00:00
Winter2022,12205,ONLINE ,F,2022-01-14T09:30:00,2022-01-14T12:00:00
Winter2022,12248,ONLINE ,M,2022-01-03T09:00:00,2022-01-03T12:00:00
Winter2022,12248,ONLINE ,T,2022-01-04T09:00:00,2022-01-04T12:00:00
Winter2022,12248,ONLINE ,W,2022-01-05T09:00:00,2022-01-05T12:00:00
Winter2022,12248,ONLINE ,F,2022-01-07T09:00:00,2022-01-07T12:00:00
Winter2022,12248,ONLINE ,S,2022-01-08T09:00:00,2022-01-08T12:00:00
Winter2022,12248,ONLINE ,T,2022-01-11T09:00:00,2022-01-11T12:00:00
Winter2022,12248,ONLINE ,W,2022-01-12T09:00:00,2022-01-12T12:00:00
Winter2022,12248,ONLINE ,F,2022-01-14T09:00:00,2022-01-14T12:00:00
Winter2022,12248,ONLINE ,S,2022-01-15T09:00:00,2022-01-15T13:00:00
