term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,instructors,cap,act,rem
Fall2020,94328,ACCT 1011,01,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '09/01-12/11', 'location': 'DSBN 201'}]",['MR 1230pm-0145pm 09/01-12/11 DSBN 201'],Rebecca I.  Bloch,Rebecca I.  Bloch (P),29,29,0
Fall2020,94329,ACCT 1011,02,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '09/01-12/11', 'location': 'DSBN L11'}]",['TF 1230pm-0145pm 09/01-12/11 DSBN L11'],Scott M  Brenner,Scott M  Brenner (P),29,28,1
Fall2020,94330,ACCT 1011,03,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0330pm-0445pm', 'dates': '09/01-12/11', 'location': 'DSBN 101'}]",['TF 0330pm-0445pm 09/01-12/11 DSBN 101'],Scott M  Brenner,Scott M  Brenner (P),29,25,4
Fall2020,94331,ACCT 1011,04,3.000,Introduction to Financial Accounting,"[{'days': 'MW', 'times': '0500pm-0615pm', 'dates': '09/01-12/11', 'location': 'DSBN 201'}]",['MW 0500pm-0615pm 09/01-12/11 DSBN 201'],Paul   Caster,Paul   Caster (P),29,29,0
Fall2020,94332,ACCT 1011,05,3.000,Introduction to Financial Accounting,"[{'days': 'MW', 'times': '0630pm-0745pm', 'dates': '09/01-12/11', 'location': 'DSBN 201'}]",['MW 0630pm-0745pm 09/01-12/11 DSBN 201'],Paul   Caster,Paul   Caster (P),29,26,3
Fall2020,94333,ACCT 1011,06,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '09/01-12/11', 'location': 'DSBN L11'}]",['TF 0200pm-0315pm 09/01-12/11 DSBN L11'],Michael P.  Coyne,Michael P.  Coyne (P),29,28,1
Fall2020,94334,ACCT 1011,07,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '09/01-12/11', 'location': 'DSBN 101'}]",['TF 0930am-1045am 09/01-12/11 DSBN 101'],Jo Ann   Drusbosky,Jo Ann   Drusbosky (P),29,27,2
Fall2020,94335,ACCT 1011,08,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '09/01-12/11', 'location': 'DSBN 101'}]",['TF 1100am-1215pm 09/01-12/11 DSBN 101'],Jo Ann   Drusbosky,Jo Ann   Drusbosky (P),29,26,3
Fall2020,94336,ACCT 1011,09,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '09/01-12/11', 'location': 'DSBN 201'}]",['TF 0200pm-0315pm 09/01-12/11 DSBN 201'],Jo Ann   Drusbosky,Jo Ann   Drusbosky (P),29,28,1
Fall2020,94337,ACCT 1011,10,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0330pm-0445pm', 'dates': '09/01-12/11', 'location': 'DSBN 201'}]",['TF 0330pm-0445pm 09/01-12/11 DSBN 201'],Jo Ann   Drusbosky,Jo Ann   Drusbosky (P),29,28,1
