term,crn,location,day,start,end
Fall2020,94328,DSBN 201,R,2020-09-03T12:30:00,2020-09-03T13:45:00
Fall2020,94328,DSBN 201,M,2020-09-07T12:30:00,2020-09-07T13:45:00
Fall2020,94328,DSBN 201,R,2020-09-10T12:30:00,2020-09-10T13:45:00
Fall2020,94328,DSBN 201,M,2020-09-14T12:30:00,2020-09-14T13:45:00
Fall2020,94328,DSBN 201,R,2020-09-17T12:30:00,2020-09-17T13:45:00
Fall2020,94328,DSBN 201,M,2020-09-21T12:30:00,2020-09-21T13:45:00
Fall2020,94328,DSBN 201,R,2020-09-24T12:30:00,2020-09-24T13:45:00
Fall2020,94328,DSBN 201,M,2020-09-28T12:30:00,2020-09-28T13:45:00
Fall2020,94328,DSBN 201,R,2020-10-01T12:30:00,2020-10-01T13:45:00
Fall2020,94328,DSBN 201,M,2020-10-05T12:30:00,2020-10-05T13:45:00
Fall2020,94328,DSBN 201,R,2020-10-08T12:30:00,2020-10-08T13:45:00
Fall2020,94328,DSBN 201,M,2020-10-12T12:30:00,2020-10-12T13:45:00
Fall2020,94328,DSBN 201,R,2020-10-15T12:30:00,2020-10-15T13:45:00
Fall2020,94328,DSBN 201,M,2020-10-19T12:30:00,2020-10-19T13:45:00
Fall2020,94328,DSBN 201,R,2020-10-22T12:30:00,2020-10-22T13:45:00
Fall2020,94328,DSBN 201,M,2020-10-26T12:30:00,2020-10-26T13:45:00
Fall2020,94328,DSBN 201,R,2020-10-29T12:30:00,2020-10-29T13:45:00
Fall2020,94328,DSBN 201,M,2020-11-02T12:30:00,2020-11-02T13:45:00
Fall2020,94328,DSBN 201,R,2020-11-05T12:30:00,2020-11-05T13:45:00
Fall2020,94328,DSBN 201,M,2020-11-09T12:30:00,2020-11-09T13:45:00
Fall2020,94328,DSBN 201,R,2020-11-12T12:30:00,2020-11-12T13:45:00
Fall2020,94328,DSBN 201,M,2020-11-16T12:30:00,2020-11-16T13:45:00
Fall2020,94328,DSBN 201,R,2020-11-19T12:30:00,2020-11-19T13:45:00
Fall2020,94328,DSBN 201,M,2020-11-23T12:30:00,2020-11-23T13:45:00
Fall2020,94328,DSBN 201,R,2020-11-26T12:30:00,2020-11-26T13:45:00
Fall2020,94328,DSBN 201,M,2020-11-30T12:30:00,2020-11-30T13:45:00
Fall2020,94328,DSBN 201,R,2020-12-03T12:30:00,2020-12-03T13:45:00
Fall2020,94328,DSBN 201,M,2020-12-07T12:30:00,2020-12-07T13:45:00
Fall2020,94328,DSBN 201,R,2020-12-10T12:30:00,2020-12-10T13:45:00
Fall2020,94328,DSBN 201,F,2020-09-18T12:30:00,2020-09-18T13:45:00
Fall2020,94329,DSBN L11,T,2020-09-01T12:30:00,2020-09-01T13:45:00
Fall2020,94329,DSBN L11,F,2020-09-04T12:30:00,2020-09-04T13:45:00
Fall2020,94329,DSBN L11,T,2020-09-08T12:30:00,2020-09-08T13:45:00
Fall2020,94329,DSBN L11,F,2020-09-11T12:30:00,2020-09-11T13:45:00
Fall2020,94329,DSBN L11,T,2020-09-15T12:30:00,2020-09-15T13:45:00
Fall2020,94329,DSBN L11,T,2020-09-22T12:30:00,2020-09-22T13:45:00
Fall2020,94329,DSBN L11,F,2020-09-25T12:30:00,2020-09-25T13:45:00
Fall2020,94329,DSBN L11,T,2020-09-29T12:30:00,2020-09-29T13:45:00
Fall2020,94329,DSBN L11,F,2020-10-02T12:30:00,2020-10-02T13:45:00
Fall2020,94329,DSBN L11,T,2020-10-06T12:30:00,2020-10-06T13:45:00
Fall2020,94329,DSBN L11,F,2020-10-09T12:30:00,2020-10-09T13:45:00
Fall2020,94329,DSBN L11,T,2020-10-13T12:30:00,2020-10-13T13:45:00
Fall2020,94329,DSBN L11,F,2020-10-16T12:30:00,2020-10-16T13:45:00
Fall2020,94329,DSBN L11,T,2020-10-20T12:30:00,2020-10-20T13:45:00
Fall2020,94329,DSBN L11,F,2020-10-23T12:30:00,2020-10-23T13:45:00
Fall2020,94329,DSBN L11,T,2020-10-27T12:30:00,2020-10-27T13:45:00
Fall2020,94329,DSBN L11,F,2020-10-30T12:30:00,2020-10-30T13:45:00
Fall2020,94329,DSBN L11,T,2020-11-03T12:30:00,2020-11-03T13:45:00
Fall2020,94329,DSBN L11,F,2020-11-06T12:30:00,2020-11-06T13:45:00
Fall2020,94329,DSBN L11,T,2020-11-10T12:30:00,2020-11-10T13:45:00
Fall2020,94329,DSBN L11,F,2020-11-13T12:30:00,2020-11-13T13:45:00
Fall2020,94329,DSBN L11,T,2020-11-17T12:30:00,2020-11-17T13:45:00
Fall2020,94329,DSBN L11,F,2020-11-20T12:30:00,2020-11-20T13:45:00
Fall2020,94329,DSBN L11,T,2020-11-24T12:30:00,2020-11-24T13:45:00
Fall2020,94329,DSBN L11,F,2020-11-27T12:30:00,2020-11-27T13:45:00
Fall2020,94329,DSBN L11,T,2020-12-01T12:30:00,2020-12-01T13:45:00
Fall2020,94329,DSBN L11,F,2020-12-04T12:30:00,2020-12-04T13:45:00
Fall2020,94329,DSBN L11,T,2020-12-08T12:30:00,2020-12-08T13:45:00
Fall2020,94329,DSBN L11,F,2020-12-11T12:30:00,2020-12-11T13:45:00
Fall2020,94330,DSBN 101,T,2020-09-01T15:30:00,2020-09-01T16:45:00
Fall2020,94330,DSBN 101,F,2020-09-04T15:30:00,2020-09-04T16:45:00
Fall2020,94330,DSBN 101,T,2020-09-08T15:30:00,2020-09-08T16:45:00
Fall2020,94330,DSBN 101,F,2020-09-11T15:30:00,2020-09-11T16:45:00
Fall2020,94330,DSBN 101,T,2020-09-15T15:30:00,2020-09-15T16:45:00
Fall2020,94330,DSBN 101,T,2020-09-22T15:30:00,2020-09-22T16:45:00
Fall2020,94330,DSBN 101,F,2020-09-25T15:30:00,2020-09-25T16:45:00
Fall2020,94330,DSBN 101,T,2020-09-29T15:30:00,2020-09-29T16:45:00
Fall2020,94330,DSBN 101,F,2020-10-02T15:30:00,2020-10-02T16:45:00
Fall2020,94330,DSBN 101,T,2020-10-06T15:30:00,2020-10-06T16:45:00
Fall2020,94330,DSBN 101,F,2020-10-09T15:30:00,2020-10-09T16:45:00
Fall2020,94330,DSBN 101,T,2020-10-13T15:30:00,2020-10-13T16:45:00
Fall2020,94330,DSBN 101,F,2020-10-16T15:30:00,2020-10-16T16:45:00
Fall2020,94330,DSBN 101,T,2020-10-20T15:30:00,2020-10-20T16:45:00
Fall2020,94330,DSBN 101,F,2020-10-23T15:30:00,2020-10-23T16:45:00
Fall2020,94330,DSBN 101,T,2020-10-27T15:30:00,2020-10-27T16:45:00
Fall2020,94330,DSBN 101,F,2020-10-30T15:30:00,2020-10-30T16:45:00
Fall2020,94330,DSBN 101,T,2020-11-03T15:30:00,2020-11-03T16:45:00
Fall2020,94330,DSBN 101,F,2020-11-06T15:30:00,2020-11-06T16:45:00
Fall2020,94330,DSBN 101,T,2020-11-10T15:30:00,2020-11-10T16:45:00
Fall2020,94330,DSBN 101,F,2020-11-13T15:30:00,2020-11-13T16:45:00
Fall2020,94330,DSBN 101,T,2020-11-17T15:30:00,2020-11-17T16:45:00
Fall2020,94330,DSBN 101,F,2020-11-20T15:30:00,2020-11-20T16:45:00
Fall2020,94330,DSBN 101,T,2020-11-24T15:30:00,2020-11-24T16:45:00
Fall2020,94330,DSBN 101,F,2020-11-27T15:30:00,2020-11-27T16:45:00
Fall2020,94330,DSBN 101,T,2020-12-01T15:30:00,2020-12-01T16:45:00
Fall2020,94330,DSBN 101,F,2020-12-04T15:30:00,2020-12-04T16:45:00
Fall2020,94330,DSBN 101,T,2020-12-08T15:30:00,2020-12-08T16:45:00
Fall2020,94330,DSBN 101,F,2020-12-11T15:30:00,2020-12-11T16:45:00
Fall2020,94331,DSBN 201,W,2020-09-02T17:00:00,2020-09-02T18:15:00
Fall2020,94331,DSBN 201,M,2020-09-07T17:00:00,2020-09-07T18:15:00
Fall2020,94331,DSBN 201,W,2020-09-09T17:00:00,2020-09-09T18:15:00
Fall2020,94331,DSBN 201,M,2020-09-14T17:00:00,2020-09-14T18:15:00
Fall2020,94331,DSBN 201,W,2020-09-16T17:00:00,2020-09-16T18:15:00
Fall2020,94331,DSBN 201,M,2020-09-21T17:00:00,2020-09-21T18:15:00
Fall2020,94331,DSBN 201,W,2020-09-23T17:00:00,2020-09-23T18:15:00
Fall2020,94331,DSBN 201,M,2020-09-28T17:00:00,2020-09-28T18:15:00
Fall2020,94331,DSBN 201,W,2020-09-30T17:00:00,2020-09-30T18:15:00
Fall2020,94331,DSBN 201,M,2020-10-05T17:00:00,2020-10-05T18:15:00
Fall2020,94331,DSBN 201,W,2020-10-07T17:00:00,2020-10-07T18:15:00
Fall2020,94331,DSBN 201,M,2020-10-12T17:00:00,2020-10-12T18:15:00
Fall2020,94331,DSBN 201,W,2020-10-14T17:00:00,2020-10-14T18:15:00
Fall2020,94331,DSBN 201,M,2020-10-19T17:00:00,2020-10-19T18:15:00
Fall2020,94331,DSBN 201,W,2020-10-21T17:00:00,2020-10-21T18:15:00
Fall2020,94331,DSBN 201,M,2020-10-26T17:00:00,2020-10-26T18:15:00
Fall2020,94331,DSBN 201,W,2020-10-28T17:00:00,2020-10-28T18:15:00
Fall2020,94331,DSBN 201,M,2020-11-02T17:00:00,2020-11-02T18:15:00
Fall2020,94331,DSBN 201,W,2020-11-04T17:00:00,2020-11-04T18:15:00
Fall2020,94331,DSBN 201,M,2020-11-09T17:00:00,2020-11-09T18:15:00
Fall2020,94331,DSBN 201,W,2020-11-11T17:00:00,2020-11-11T18:15:00
Fall2020,94331,DSBN 201,M,2020-11-16T17:00:00,2020-11-16T18:15:00
Fall2020,94331,DSBN 201,W,2020-11-18T17:00:00,2020-11-18T18:15:00
Fall2020,94331,DSBN 201,M,2020-11-23T17:00:00,2020-11-23T18:15:00
Fall2020,94331,DSBN 201,W,2020-11-25T17:00:00,2020-11-25T18:15:00
Fall2020,94331,DSBN 201,M,2020-11-30T17:00:00,2020-11-30T18:15:00
