term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,instructors,cap,act,rem
Summer2020,50314,IL 0197,OL1,3.000,United Nations Security Council Crisis Simulation,[],[],Janie L.  Leatherman,Janie L.  Leatherman (P),20,6,14
Summer2020,50412,IL 0298,01,0.000-3.000,Internship,[],[],Anita G.  Deeg-Carlin,Anita G.  Deeg-Carlin (P),5,1,4
Summer2020,50187,IT 0220,OL1,3.000,Topics in Language and Culture,[],[],David J.  Lara,David J.  Lara (P),20,2,18
Summer2020,50298,LE 0256,01,3.000,Leadership Ethics Internship,[],[],Sara   Brill,Sara   Brill (P),10,1,9
Summer2020,50231,MG 0380,OL1,3.000,"Performance, Compensation, and Reward",[],[],Mousumi   Bhattacharya,Mousumi   Bhattacharya (P),19,8,11
Summer2020,50340,MG 0391,01,3.000,Internship,[],[],Sarah Jennie  Bollinger,Sarah Jennie  Bollinger (P),20,0,20
Summer2020,50194,MG 0400,OL1,3.000,Organizational Behavior,[],[],Lisa   Stafford,Lisa   Stafford (P),20,12,8
Summer2020,50262,MG 0410,OL1,1.500,Understanding Organizations,"[{'days': 'R', 'times': '0100pm-0400pm', 'dates': '07/06-07/31', 'location': 'ONLINE '}]",['R 0100pm-0400pm 07/06-07/31 ONLINE '],Lisa   Stafford,Lisa   Stafford (P),20,7,13
Summer2020,50296,MG 0500,OL1,3.000,Leadership,[],[],Richard F.  Cerrone,Richard F.  Cerrone (P),25,23,2
Summer2020,50275,MG 0509,OL1,1.500,Law and Ethics for Critical Reasoning in Business,[],[],David P.  Schmidt,David P.  Schmidt (P),20,7,13
Summer2020,50263,MG 0515,OL1,0.000,Professional Development,"[{'days': 'R', 'times': '1100am-1200pm', 'dates': '06/01-06/26', 'location': 'ONLINE '}]",['R 1100am-1200pm 06/01-06/26 ONLINE '],Sarah Jennie  Bollinger,Sarah Jennie  Bollinger (P),20,7,13
Summer2020,50195,MG 0540,OL1,3.000,Cross-Cultural Management,"[{'days': 'MW', 'times': '0600pm-0930pm', 'dates': '06/03-06/26', 'location': 'ONLINE '}, {'days': 'S', 'times': '0830am-0430pm', 'dates': '06/13-06/20', 'location': 'ONLINE '}]","['MW 0600pm-0930pm 06/03-06/26 ONLINE ', 'S 0830am-0430pm 06/13-06/20 ONLINE ', 'S 0830am-0430pm 06/13-06/20 ONLINE ']",Carl A.  Scheraga,Carl A.  Scheraga (P),25,18,7
Summer2020,50008,MOT 0420,OL1,3.000,Design for Economy and Reliability,"[{'days': 'W', 'times': '0600pm-1000pm', 'dates': '05/18-08/14', 'location': 'ONLINE '}]",['W 0600pm-1000pm 05/18-08/14 ONLINE '],Kevin J.  Violette,Kevin J.  Violette (P),15,9,6
Summer2020,50196,MK 0101,OL1,3.000,Principles of Marketing,[],[],Camelia   Micu,Camelia   Micu (P),25,25,0
Summer2020,50197,MK 0212,OL1,3.000,Consumer Behavior,[],[],Gerald O.  Cavallo,Gerald O.  Cavallo (P),20,19,1
Summer2020,50198,MK 0241,OL1,3.000,Digital Marketing,[],[],Camelia   Micu,Camelia   Micu (P),20,14,6
Summer2020,50341,MK 0391,01,3.000,Internship,[],[],Sarah Jennie  Bollinger,Sarah Jennie  Bollinger (P),20,0,20
