term,crn,location,day,start,end
Winter2019,11901,DSB 109,R,2019-01-10T08:30:00,2019-01-10T16:30:00
Winter2019,11901,DSB 109,F,2019-01-11T08:30:00,2019-01-11T16:30:00
Winter2019,11901,DSB 109,M,2019-01-14T08:30:00,2019-01-14T16:30:00
Winter2019,11901,DSB 109,T,2019-01-15T08:30:00,2019-01-15T16:30:00
Winter2019,11901,DSB 109,W,2019-01-16T08:30:00,2019-01-16T16:30:00
Winter2019,11903,DSB 114,F,2019-01-04T18:00:00,2019-01-04T21:30:00
Winter2019,11903,DSB 114,M,2019-01-07T18:00:00,2019-01-07T21:30:00
Winter2019,11903,DSB 114,T,2019-01-08T18:00:00,2019-01-08T21:30:00
Winter2019,11903,DSB 114,W,2019-01-09T18:00:00,2019-01-09T21:30:00
Winter2019,11903,DSB 114,R,2019-01-10T18:00:00,2019-01-10T21:30:00
Winter2019,11903,DSB 114,F,2019-01-11T18:00:00,2019-01-11T21:30:00
Winter2019,11903,DSB 114,S,2019-01-05T08:30:00,2019-01-05T16:30:00
Winter2019,11903,DSB 114,S,2019-01-12T08:30:00,2019-01-12T16:30:00
Winter2019,11902,DSB 115,R,2019-01-03T18:00:00,2019-01-03T21:30:00
Winter2019,11902,DSB 115,M,2019-01-07T18:00:00,2019-01-07T21:30:00
Winter2019,11902,DSB 115,T,2019-01-08T18:00:00,2019-01-08T21:30:00
Winter2019,11902,DSB 115,W,2019-01-09T18:00:00,2019-01-09T21:30:00
Winter2019,11902,DSB 115,R,2019-01-10T18:00:00,2019-01-10T21:30:00
Winter2019,11902,DSB 115,M,2019-01-14T18:00:00,2019-01-14T21:30:00
Winter2019,11902,DSB 115,T,2019-01-15T18:00:00,2019-01-15T21:30:00
Winter2019,11902,DSB 115,W,2019-01-16T18:00:00,2019-01-16T21:30:00
Winter2019,11902,DSB 115,S,2019-01-05T08:30:00,2019-01-05T17:30:00
Winter2019,11902,DSB 115,S,2019-01-12T08:30:00,2019-01-12T17:30:00
Winter2019,11918,JGS 25,R,2019-01-10T08:30:00,2019-01-10T16:30:00
Winter2019,11918,JGS 25,F,2019-01-11T08:30:00,2019-01-11T16:30:00
Winter2019,11918,JGS 25,M,2019-01-14T08:30:00,2019-01-14T16:30:00
Winter2019,11918,JGS 25,T,2019-01-15T08:30:00,2019-01-15T16:30:00
Winter2019,11918,JGS 25,W,2019-01-16T08:30:00,2019-01-16T16:30:00
Winter2019,11912,DMH 347,R,2019-01-10T08:30:00,2019-01-10T16:30:00
Winter2019,11912,DMH 347,F,2019-01-11T08:30:00,2019-01-11T16:30:00
Winter2019,11912,DMH 347,M,2019-01-14T08:30:00,2019-01-14T16:30:00
Winter2019,11912,DMH 347,T,2019-01-15T08:30:00,2019-01-15T16:30:00
Winter2019,11912,DMH 347,W,2019-01-16T08:30:00,2019-01-16T16:30:00
Winter2019,11920,LYL 22,R,2019-01-10T08:30:00,2019-01-10T16:30:00
Winter2019,11920,LYL 22,F,2019-01-11T08:30:00,2019-01-11T16:30:00
Winter2019,11920,LYL 22,M,2019-01-14T08:30:00,2019-01-14T16:30:00
Winter2019,11920,LYL 22,T,2019-01-15T08:30:00,2019-01-15T16:30:00
Winter2019,11920,LYL 22,W,2019-01-16T08:30:00,2019-01-16T16:30:00
