term,crn,location,day,start,end
Winter2021,12153,ONLINE ,M,2021-01-04T10:00:00,2021-01-04T12:30:00
Winter2021,12153,ONLINE ,T,2021-01-05T10:00:00,2021-01-05T12:30:00
Winter2021,12153,ONLINE ,W,2021-01-06T10:00:00,2021-01-06T12:30:00
Winter2021,12153,ONLINE ,R,2021-01-07T10:00:00,2021-01-07T12:30:00
Winter2021,12153,ONLINE ,F,2021-01-08T10:00:00,2021-01-08T12:30:00
Winter2021,12153,ONLINE ,M,2021-01-11T10:00:00,2021-01-11T12:30:00
Winter2021,12153,ONLINE ,T,2021-01-12T10:00:00,2021-01-12T12:30:00
Winter2021,12153,ONLINE ,W,2021-01-13T10:00:00,2021-01-13T12:30:00
Winter2021,12153,ONLINE ,R,2021-01-14T10:00:00,2021-01-14T12:30:00
Winter2021,12153,ONLINE ,F,2021-01-15T10:00:00,2021-01-15T12:30:00
Winter2021,12110,ONLINE ,M,2021-01-04T10:00:00,2021-01-04T12:00:00
Winter2021,12110,ONLINE ,T,2021-01-05T10:00:00,2021-01-05T12:00:00
Winter2021,12110,ONLINE ,W,2021-01-06T10:00:00,2021-01-06T12:00:00
Winter2021,12110,ONLINE ,R,2021-01-07T10:00:00,2021-01-07T12:00:00
Winter2021,12110,ONLINE ,F,2021-01-08T10:00:00,2021-01-08T12:00:00
Winter2021,12110,ONLINE ,M,2021-01-11T10:00:00,2021-01-11T12:00:00
Winter2021,12110,ONLINE ,T,2021-01-12T10:00:00,2021-01-12T12:00:00
Winter2021,12110,ONLINE ,W,2021-01-13T10:00:00,2021-01-13T12:00:00
Winter2021,12110,ONLINE ,R,2021-01-14T10:00:00,2021-01-14T12:00:00
Winter2021,12110,ONLINE ,F,2021-01-15T10:00:00,2021-01-15T12:00:00
Winter2021,12110,ONLINE ,M,2021-01-04T13:00:00,2021-01-04T15:00:00
Winter2021,12110,ONLINE ,T,2021-01-05T13:00:00,2021-01-05T15:00:00
Winter2021,12110,ONLINE ,W,2021-01-06T13:00:00,2021-01-06T15:00:00
Winter2021,12110,ONLINE ,R,2021-01-07T13:00:00,2021-01-07T15:00:00
Winter2021,12110,ONLINE ,F,2021-01-08T13:00:00,2021-01-08T15:00:00
Winter2021,12110,ONLINE ,M,2021-01-11T13:00:00,2021-01-11T15:00:00
Winter2021,12110,ONLINE ,T,2021-01-12T13:00:00,2021-01-12T15:00:00
Winter2021,12110,ONLINE ,W,2021-01-13T13:00:00,2021-01-13T15:00:00
Winter2021,12110,ONLINE ,R,2021-01-14T13:00:00,2021-01-14T15:00:00
Winter2021,12110,ONLINE ,F,2021-01-15T13:00:00,2021-01-15T15:00:00
Winter2021,12121,ONLINE ,S,2021-01-02T08:30:00,2021-01-02T16:30:00
Winter2021,12121,ONLINE ,S,2021-01-09T08:30:00,2021-01-09T16:30:00
Winter2021,12121,ONLINE ,M,2021-01-04T18:00:00,2021-01-04T21:30:00
