team,opp_team,season,year,date,period,segment_id,play_id,remaining_time,elapsed,play_length,lineup,event_type,player,+points,-points,+assists,-assists,+turnovers,-turnovers,+fouls,-fouls,+rebounds,-rebounds,+rebounds_offensive,-rebounds_offensive,+rebounds_defensive,-rebounds_defensive,+blocks,-blocks,+steals,-steals,+jump_balls,-jump_balls,+made_FT,-made_FT,+missed_FT,-missed_FT,+made_2PT,-made_2PT,+missed_2PT,-missed_2PT,+made_3PT,-made_3PT,+missed_3PT,-missed_3PT,play_length_delta,play_length_secs,play_length_mins
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,2,17,0:10:56,0:01:04,0:00:04,"['Fred VanVleet', 'Kyle Lowry', 'Marc Gasol', 'OG Anunoby', 'Pascal Siakam']",rebound,Kyle Lowry,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 days 00:00:04.000000000,4,0.06666666667
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,2,18,0:10:54,0:01:06,0:00:02,"['Fred VanVleet', 'Kyle Lowry', 'Marc Gasol', 'OG Anunoby', 'Pascal Siakam']",foul,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 days 00:00:02.000000000,2,0.03333333333
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,2,20,0:10:54,0:01:06,0:00:00,"['Fred VanVleet', 'Kyle Lowry', 'Marc Gasol', 'OG Anunoby', 'Pascal Siakam']",free throw,Kyle Lowry,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0 days 00:00:00.000000000,0,0
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,2,21,0:10:54,0:01:06,0:00:00,"['Fred VanVleet', 'Kyle Lowry', 'Marc Gasol', 'OG Anunoby', 'Pascal Siakam']",free throw,Kyle Lowry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0 days 00:00:00.000000000,0,0
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,2,22,0:10:51,0:01:09,0:00:03,"['Fred VanVleet', 'Kyle Lowry', 'Marc Gasol', 'OG Anunoby', 'Pascal Siakam']",rebound,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 days 00:00:03.000000000,3,0.05
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,2,23,0:10:37,0:01:23,0:00:14,"['Fred VanVleet', 'Kyle Lowry', 'Marc Gasol', 'OG Anunoby', 'Pascal Siakam']",shot,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0 days 00:00:14.000000000,14,0.2333333333
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,2,24,0:10:27,0:01:33,0:00:10,"['Fred VanVleet', 'Kyle Lowry', 'Marc Gasol', 'OG Anunoby', 'Pascal Siakam']",violation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 days 00:00:10.000000000,10,0.1666666667
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,2,25,0:10:17,0:01:43,0:00:10,"['Fred VanVleet', 'Kyle Lowry', 'Marc Gasol', 'OG Anunoby', 'Pascal Siakam']",shot,OG Anunoby,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0 days 00:00:10.000000000,10,0.1666666667
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,2,27,0:10:11,0:01:49,0:00:06,"['Fred VanVleet', 'Kyle Lowry', 'Marc Gasol', 'OG Anunoby', 'Pascal Siakam']",shot,,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0 days 00:00:06.000000000,6,0.1
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,2,29,0:10:04,0:01:56,0:00:07,"['Fred VanVleet', 'Kyle Lowry', 'Marc Gasol', 'OG Anunoby', 'Pascal Siakam']",foul,Kyle Lowry,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 days 00:00:07.000000000,7,0.1166666667
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,2,31,0:10:04,0:01:56,0:00:00,"['Fred VanVleet', 'Kyle Lowry', 'Marc Gasol', 'OG Anunoby', 'Pascal Siakam']",turnover,Kyle Lowry,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 days 00:00:00.000000000,0,0
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,2,32,0:09:55,0:02:05,0:00:09,"['Fred VanVleet', 'Kyle Lowry', 'Marc Gasol', 'OG Anunoby', 'Pascal Siakam']",miss,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0 days 00:00:09.000000000,9,0.15
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,2,33,0:09:51,0:02:09,0:00:04,"['Fred VanVleet', 'Kyle Lowry', 'Marc Gasol', 'OG Anunoby', 'Pascal Siakam']",rebound,Kyle Lowry,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 days 00:00:04.000000000,4,0.06666666667
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,2,34,0:09:49,0:02:11,0:00:02,"['Fred VanVleet', 'Kyle Lowry', 'Marc Gasol', 'OG Anunoby', 'Pascal Siakam']",turnover,Pascal Siakam,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 days 00:00:02.000000000,2,0.03333333333
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,2,35,0:09:39,0:02:21,0:00:10,"['Fred VanVleet', 'Kyle Lowry', 'Marc Gasol', 'OG Anunoby', 'Pascal Siakam']",shot,,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0 days 00:00:10.000000000,10,0.1666666667
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,2,37,0:09:26,0:02:34,0:00:13,"['Fred VanVleet', 'Kyle Lowry', 'Marc Gasol', 'OG Anunoby', 'Pascal Siakam']",miss,OG Anunoby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0 days 00:00:13.000000000,13,0.2166666667
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,2,38,0:09:24,0:02:36,0:00:02,"['Fred VanVleet', 'Kyle Lowry', 'Marc Gasol', 'OG Anunoby', 'Pascal Siakam']",rebound,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 days 00:00:02.000000000,2,0.03333333333
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,2,39,0:09:16,0:02:44,0:00:08,"['Fred VanVleet', 'Kyle Lowry', 'Marc Gasol', 'OG Anunoby', 'Pascal Siakam']",miss,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 days 00:00:08.000000000,8,0.1333333333
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,2,40,0:09:14,0:02:46,0:00:02,"['Fred VanVleet', 'Kyle Lowry', 'Marc Gasol', 'OG Anunoby', 'Pascal Siakam']",rebound,Kyle Lowry,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 days 00:00:02.000000000,2,0.03333333333
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,2,41,0:09:07,0:02:53,0:00:07,"['Fred VanVleet', 'Kyle Lowry', 'Marc Gasol', 'OG Anunoby', 'Pascal Siakam']",turnover,Kyle Lowry,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 days 00:00:07.000000000,7,0.1166666667
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,2,43,0:09:02,0:02:58,0:00:05,"['Fred VanVleet', 'Kyle Lowry', 'Marc Gasol', 'OG Anunoby', 'Pascal Siakam']",shot,,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0 days 00:00:05.000000000,5,0.08333333333
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,2,45,0:08:58,0:03:02,0:00:04,"['Fred VanVleet', 'Kyle Lowry', 'Marc Gasol', 'OG Anunoby', 'Pascal Siakam']",timeout,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 days 00:00:04.000000000,4,0.06666666667
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,2,46,0:08:48,0:03:12,0:00:10,"['Fred VanVleet', 'Kyle Lowry', 'Marc Gasol', 'OG Anunoby', 'Pascal Siakam']",turnover,Fred VanVleet,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 days 00:00:10.000000000,10,0.1666666667
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,2,47,0:08:34,0:03:26,0:00:14,"['Fred VanVleet', 'Kyle Lowry', 'Marc Gasol', 'OG Anunoby', 'Pascal Siakam']",shot,,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0 days 00:00:14.000000000,14,0.2333333333
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,2,49,0:08:23,0:03:37,0:00:11,"['Fred VanVleet', 'Kyle Lowry', 'Marc Gasol', 'OG Anunoby', 'Pascal Siakam']",shot,Pascal Siakam,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0 days 00:00:11.000000000,11,0.1833333333
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,2,50,0:08:18,0:03:42,0:00:05,"['Fred VanVleet', 'Kyle Lowry', 'Marc Gasol', 'OG Anunoby', 'Pascal Siakam']",turnover,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 days 00:00:05.000000000,5,0.08333333333
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,2,51,0:08:10,0:03:50,0:00:08,"['Fred VanVleet', 'Kyle Lowry', 'Marc Gasol', 'OG Anunoby', 'Pascal Siakam']",miss,Pascal Siakam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0 days 00:00:08.000000000,8,0.1333333333
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,2,52,0:08:07,0:03:53,0:00:03,"['Fred VanVleet', 'Kyle Lowry', 'Marc Gasol', 'OG Anunoby', 'Pascal Siakam']",rebound,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 days 00:00:03.000000000,3,0.05
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,2,53,0:07:57,0:04:03,0:00:10,"['Fred VanVleet', 'Kyle Lowry', 'Marc Gasol', 'OG Anunoby', 'Pascal Siakam']",shot,,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0 days 00:00:10.000000000,10,0.1666666667
