term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,instructors,cap,act,rem
Fall2022,94260,ACCT 1011,01,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '09/06-12/12', 'location': 'DSBN 215'}]",['MR 0930am-1045am 09/06-12/12 DSBN 215'],John   Aland,John   Aland (P),33,33,0
Fall2022,94261,ACCT 1011,02,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '09/06-12/12', 'location': 'DSBN 216'}]",['MR 1230pm-0145pm 09/06-12/12 DSBN 216'],John   Aland,John   Aland (P),33,33,0
Fall2022,94262,ACCT 1011,03,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '09/06-12/12', 'location': 'DSBN 216'}]",['MR 0200pm-0315pm 09/06-12/12 DSBN 216'],John   Aland,John   Aland (P),33,33,0
Fall2022,94264,ACCT 1011,05,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '09/06-12/12', 'location': 'DSBN 212'}]",['MR 1100am-1215pm 09/06-12/12 DSBN 212'],Heather   Baiye,Heather   Baiye (P),33,33,0
Fall2022,94265,ACCT 1011,06,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '09/06-12/12', 'location': 'DSBN L03'}]",['TF 0200pm-0315pm 09/06-12/12 DSBN L03'],Scott M  Brenner,Scott M  Brenner (P),33,34,-1
Fall2022,94266,ACCT 1011,07,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0330pm-0445pm', 'dates': '09/06-12/12', 'location': 'DSBN 111'}]",['TF 0330pm-0445pm 09/06-12/12 DSBN 111'],Scott M  Brenner,Scott M  Brenner (P),33,31,2
Fall2022,94267,ACCT 1011,08,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '09/06-12/12', 'location': 'DSBN 201'}]",['MR 0200pm-0315pm 09/06-12/12 DSBN 201'],Paul   Caster,Paul   Caster (P),33,33,0
Fall2022,94268,ACCT 1011,09,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '09/06-12/12', 'location': 'DSBN 201'}]",['MR 0330pm-0445pm 09/06-12/12 DSBN 201'],Paul   Caster,Paul   Caster (P),33,32,1
Fall2022,94269,ACCT 1011,10,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '09/06-12/12', 'location': 'DSBN 212'}]",['TF 0200pm-0315pm 09/06-12/12 DSBN 212'],Michael P.  Coyne,Michael P.  Coyne (P),33,33,0
Fall2022,94270,ACCT 1011,11,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '09/06-12/12', 'location': 'DSBN 201'}]",['TF 0930am-1045am 09/06-12/12 DSBN 201'],Jo Ann   Drusbosky,Jo Ann   Drusbosky (P),33,33,0
Fall2022,94271,ACCT 1011,12,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '09/06-12/12', 'location': 'DSBN 201'}]",['TF 1230pm-0145pm 09/06-12/12 DSBN 201'],Jo Ann   Drusbosky,Jo Ann   Drusbosky (P),33,32,1
Fall2022,94272,ACCT 1011,13,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '09/06-12/12', 'location': 'DSBN 201'}]",['TF 0200pm-0315pm 09/06-12/12 DSBN 201'],Jo Ann   Drusbosky,Jo Ann   Drusbosky (P),33,32,1
Fall2022,94273,ACCT 1011,14,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0800am-0915am', 'dates': '09/06-12/12', 'location': 'DSBN 101'}]",['MR 0800am-0915am 09/06-12/12 DSBN 101'],Kara E.  Hunter,Kara E.  Hunter (P),33,32,1
Fall2022,96078,ACCT 1011,15,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '09/06-12/12', 'location': 'DSBN L03'}]",['MR 0930am-1045am 09/06-12/12 DSBN L03'],Kara E.  Hunter,Kara E.  Hunter (P),33,33,0
Fall2022,96079,ACCT 1011,16,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '09/06-12/12', 'location': 'DSBN 215'}]",['TF 0930am-1045am 09/06-12/12 DSBN 215'],Heather   Baiye,Heather   Baiye (P),33,33,0
Fall2022,96080,ACCT 1011,17,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '09/06-12/12', 'location': 'DSBN L03'}]",['TF 1230pm-0145pm 09/06-12/12 DSBN L03'],Heather   Baiye,Heather   Baiye (P),33,32,1
Fall2022,96081,ACCT 1011,18,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0800am-0915am', 'dates': '09/06-12/12', 'location': 'DSBN 110'}]",['TF 0800am-0915am 09/06-12/12 DSBN 110'],Han   Yan,Han   Yan (P),33,26,7
Fall2022,96082,ACCT 1011,19,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '09/06-12/12', 'location': 'DSBN 216'}]",['TF 1100am-1215pm 09/06-12/12 DSBN 216'],Han   Yan,Han   Yan (P),33,31,2
Fall2022,96083,ACCT 1011,20,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0800am-0915am', 'dates': '09/06-12/12', 'location': 'DSBN 204'}]",['MR 0800am-0915am 09/06-12/12 DSBN 204'],Catherine   VanSlyck-Giff,Catherine   VanSlyck-Giff (P),33,31,2
Fall2022,96277,ACCT 1011,21,3.000,Introduction to Financial Accounting,"[{'days': 'MW', 'times': '0630pm-0745pm', 'dates': '09/06-12/12', 'location': 'DSBN 111'}]",['MW 0630pm-0745pm 09/06-12/12 DSBN 111'],Tessa Anne  Criticos,Tessa Anne  Criticos (P),33,32,1
Fall2022,94278,ACCT 1012,01,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '09/06-12/12', 'location': 'DSBN L11'}]",['MR 0930am-1045am 09/06-12/12 DSBN L11'],Heather   Baiye,Heather   Baiye (P),33,31,2
Fall2022,95521,ACCT 1012,03,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '09/06-12/12', 'location': 'ONLINE '}]",['MR 0930am-1045am 09/06-12/12 ONLINE '],Shauna   Balderson,Shauna   Balderson (P),28,27,1
Fall2022,94280,ACCT 2203,01,3.000,Intermediate Accounting I,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '09/06-12/12', 'location': 'DSBN 111'}]",['MR 1100am-1215pm 09/06-12/12 DSBN 111'],Rebecca I.  Bloch,Rebecca I.  Bloch (P),25,28,-3
Fall2022,94281,ACCT 2203,02,3.000,Intermediate Accounting I,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '09/06-12/12', 'location': 'DSBN 110'}]",['MR 1230pm-0145pm 09/06-12/12 DSBN 110'],Rebecca I.  Bloch,Rebecca I.  Bloch (P),25,25,0
