term,crn,location,day,start,end
Fall2019,97162,DSBN 201,R,2019-09-05T12:30:00,2019-09-05T13:45:00
Fall2019,97162,DSBN 201,M,2019-09-09T12:30:00,2019-09-09T13:45:00
Fall2019,97162,DSBN 201,R,2019-09-12T12:30:00,2019-09-12T13:45:00
Fall2019,97162,DSBN 201,M,2019-09-16T12:30:00,2019-09-16T13:45:00
Fall2019,97162,DSBN 201,R,2019-09-19T12:30:00,2019-09-19T13:45:00
Fall2019,97162,DSBN 201,M,2019-09-23T12:30:00,2019-09-23T13:45:00
Fall2019,97162,DSBN 201,R,2019-09-26T12:30:00,2019-09-26T13:45:00
Fall2019,97162,DSBN 201,M,2019-09-30T12:30:00,2019-09-30T13:45:00
Fall2019,97162,DSBN 201,R,2019-10-03T12:30:00,2019-10-03T13:45:00
Fall2019,97162,DSBN 201,M,2019-10-07T12:30:00,2019-10-07T13:45:00
Fall2019,97162,DSBN 201,R,2019-10-10T12:30:00,2019-10-10T13:45:00
Fall2019,97162,DSBN 201,R,2019-10-17T12:30:00,2019-10-17T13:45:00
Fall2019,97162,DSBN 201,M,2019-10-21T12:30:00,2019-10-21T13:45:00
Fall2019,97162,DSBN 201,R,2019-10-24T12:30:00,2019-10-24T13:45:00
Fall2019,97162,DSBN 201,M,2019-10-28T12:30:00,2019-10-28T13:45:00
Fall2019,97162,DSBN 201,R,2019-10-31T12:30:00,2019-10-31T13:45:00
Fall2019,97162,DSBN 201,M,2019-11-04T12:30:00,2019-11-04T13:45:00
Fall2019,97162,DSBN 201,R,2019-11-07T12:30:00,2019-11-07T13:45:00
Fall2019,97162,DSBN 201,M,2019-11-11T12:30:00,2019-11-11T13:45:00
Fall2019,97162,DSBN 201,R,2019-11-14T12:30:00,2019-11-14T13:45:00
Fall2019,97162,DSBN 201,M,2019-11-18T12:30:00,2019-11-18T13:45:00
Fall2019,97162,DSBN 201,R,2019-11-21T12:30:00,2019-11-21T13:45:00
Fall2019,97162,DSBN 201,M,2019-11-25T12:30:00,2019-11-25T13:45:00
Fall2019,97162,DSBN 201,M,2019-12-02T12:30:00,2019-12-02T13:45:00
Fall2019,97162,DSBN 201,R,2019-12-05T12:30:00,2019-12-05T13:45:00
Fall2019,97162,DSBN 201,M,2019-12-09T12:30:00,2019-12-09T13:45:00
Fall2019,97178,DSBN 201,T,2019-09-03T08:00:00,2019-09-03T09:15:00
Fall2019,97178,DSBN 201,F,2019-09-06T08:00:00,2019-09-06T09:15:00
Fall2019,97178,DSBN 201,T,2019-09-10T08:00:00,2019-09-10T09:15:00
Fall2019,97178,DSBN 201,F,2019-09-13T08:00:00,2019-09-13T09:15:00
Fall2019,97178,DSBN 201,T,2019-09-17T08:00:00,2019-09-17T09:15:00
Fall2019,97178,DSBN 201,F,2019-09-20T08:00:00,2019-09-20T09:15:00
Fall2019,97178,DSBN 201,T,2019-09-24T08:00:00,2019-09-24T09:15:00
Fall2019,97178,DSBN 201,F,2019-09-27T08:00:00,2019-09-27T09:15:00
Fall2019,97178,DSBN 201,T,2019-10-01T08:00:00,2019-10-01T09:15:00
Fall2019,97178,DSBN 201,F,2019-10-04T08:00:00,2019-10-04T09:15:00
Fall2019,97178,DSBN 201,T,2019-10-08T08:00:00,2019-10-08T09:15:00
Fall2019,97178,DSBN 201,F,2019-10-11T08:00:00,2019-10-11T09:15:00
Fall2019,97178,DSBN 201,T,2019-10-15T08:00:00,2019-10-15T09:15:00
Fall2019,97178,DSBN 201,F,2019-10-18T08:00:00,2019-10-18T09:15:00
Fall2019,97178,DSBN 201,T,2019-10-22T08:00:00,2019-10-22T09:15:00
Fall2019,97178,DSBN 201,F,2019-10-25T08:00:00,2019-10-25T09:15:00
Fall2019,97178,DSBN 201,T,2019-10-29T08:00:00,2019-10-29T09:15:00
Fall2019,97178,DSBN 201,F,2019-11-01T08:00:00,2019-11-01T09:15:00
Fall2019,97178,DSBN 201,T,2019-11-05T08:00:00,2019-11-05T09:15:00
Fall2019,97178,DSBN 201,F,2019-11-08T08:00:00,2019-11-08T09:15:00
Fall2019,97178,DSBN 201,T,2019-11-12T08:00:00,2019-11-12T09:15:00
Fall2019,97178,DSBN 201,F,2019-11-15T08:00:00,2019-11-15T09:15:00
Fall2019,97178,DSBN 201,T,2019-11-19T08:00:00,2019-11-19T09:15:00
Fall2019,97178,DSBN 201,F,2019-11-22T08:00:00,2019-11-22T09:15:00
Fall2019,97178,DSBN 201,T,2019-11-26T08:00:00,2019-11-26T09:15:00
Fall2019,97178,DSBN 201,T,2019-12-03T08:00:00,2019-12-03T09:15:00
